"","Country","Year","Total","Rate"
"1","British Virgin Islands",1999,43,215
"2","British Virgin Islands",2005,105,457
"3","British Virgin Islands",2008,117,450
"4","British Virgin Islands",2010,117,418
"5","British Virgin Islands",2012,138,476
"6","British Virgin Islands",2014,134,462
"7","U.S. Virgin Islands",2000,518,475
"8","U.S. Virgin Islands",2002,647,599
"9","U.S. Virgin Islands",2004,576,533
"10","U.S. Virgin Islands",2006,586,548
"11","U.S. Virgin Islands",2008,612,572
"12","U.S. Virgin Islands",2010,577,544
"13","U.S. Virgin Islands",2012,577,542
"14","St. Kitts and Nevis",1999,135,300
"15","St. Kitts and Nevis",2003,195,424
"16","St. Kitts and Nevis",2006,237,499
"17","St. Kitts and Nevis",2008,271,563
"18","St. Kitts and Nevis",2010,256,522
"19","St. Kitts and Nevis",2012,366,732
"20","St. Kitts and Nevis",2014,334,655
"21","St. Kitts and Nevis",2016,219,424
"22","Grenada",1998,327,324
"23","Grenada",2002,297,291
"24","Grenada",2004,182,177
"25","Grenada",2006,334,324
"26","Grenada",2008,386,371
"27","Grenada",2010,432,408
"28","Grenada",2012,489,455
"29","Grenada",2014,513,468
"30","Grenada",2016,457,414
"31","Grenada",2018,460,414
"32","Panama",2000,8652,283
"33","Panama",2002,10423,328
"34","Panama",2004,11400,345
"35","Panama",2006,11575,338
"36","Panama",2008,9651,272
"37","Panama",2010,12542,341
"38","Panama",2012,14468,380
"39","Panama",2014,15690,398
"40","Panama",2016,16583,407
"41","Panama",2018,16561,395
"42","Panama",2020,17967,416
"43","Brazil",2000,232755,132
"44","Brazil",2002,239345,132
"45","Brazil",2004,336358,180
"46","Brazil",2006,401236,209
"47","Brazil",2008,451429,231
"48","Brazil",2010,496251,249
"49","Brazil",2012,548003,270
"50","Brazil",2014,622202,301
"51","Brazil",2016,722120,349
"52","Brazil",2018,744216,354
"53","Uruguay",2000,4469,135
"54","Uruguay",2002,5630,169
"55","Uruguay",2004,6888,207
"56","Uruguay",2006,6887,207
"57","Uruguay",2008,7665,229
"58","Uruguay",2010,8700,257
"59","Uruguay",2012,9418,277
"60","Uruguay",2014,9542,279
"61","Uruguay",2016,10561,306
"62","Uruguay",2018,10233,294
"63","Uruguay",2020,13021,372
"64","Mexico",2000,154765,156
"65","Mexico",2002,172888,169
"66","Mexico",2004,193889,186
"67","Mexico",2006,210140,197
"68","Mexico",2008,219754,202
"69","Mexico",2010,219027,191
"70","Mexico",2012,239089,203
"71","Mexico",2014,255638,212
"72","Mexico",2016,217868,176
"73","Mexico",2018,197988,156
"74","Mexico",2020,214231,169
"75","El Salvador",2000,7754,132
"76","El Salvador",2002,10907,183
"77","El Salvador",2004,12073,201
"78","El Salvador",2006,14771,243
"79","El Salvador",2008,19814,324
"80","El Salvador",2010,24662,399
"81","El Salvador",2012,27033,433
"82","El Salvador",2014,28334,450
"83","El Salvador",2016,36824,579
"84","El Salvador",2018,39642,617
"85","El Salvador",2020,37190,572
"86","Canada",2001,35533,115
"87","Canada",2003,35868,114
"88","Canada",2005,34365,107
"89","Canada",2007,37452,115
"90","Canada",2009,39051,117
"91","Canada",2011,39916,117
"92","Canada",2013,41026,118
"93","Canada",2015,40663,114
"94","Canada",2017,40770,112
"95","France",2000,48049,82
"96","France",2002,45319,76
"97","France",2004,55355,91
"98","France",2006,55633,91
"99","France",2008,59468,96
"100","France",2011,62467,99
"101","France",2014,72796,114
"102","France",2016,71190,110
"103","France",2018,74244,114
"104","France",2020,77062,119
"105","United States",2000,1937482,683
"106","United States",2002,2033022,703
"107","United States",2004,2135335,725
"108","United States",2006,2258792,752
"109","United States",2008,2307504,755
"110","United States",2010,2270142,731
"111","United States",2012,2228424,707
"112","United States",2014,2217947,693
"113","United States",2016,2157800,666
"114","United States",2018,2102400,642
"115","Germany",2000,70252,85
"116","Germany",2002,70977,86
"117","Germany",2004,79452,96
"118","Germany",2006,76629,93
"119","Germany",2008,72259,88
"120","Germany",2010,69385,85
"121","Germany",2012,65889,82
"122","Germany",2014,61872,76
"123","Germany",2016,62865,76
"124","Germany",2018,63643,77
"125","Germany",2020,59585,72
"126","Italy",2000,53165,93
"127","Italy",2002,55670,97
"128","Italy",2004,56068,96
"129","Italy",2006,39005,66
"130","Italy",2008,58127,97
"131","Italy",2010,67961,112
"132","Italy",2012,65701,110
"133","Italy",2014,53623,88
"134","Italy",2016,54653,90
"135","Italy",2018,59655,99
"136","Italy",2020,53364,89
"137","United Kingdom",2000,64602,124
"138","United Kingdom",2002,70861,135
"139","United Kingdom",2004,74657,141
"140","United Kingdom",2006,78150,145
"141","United Kingdom",2008,82636,152
"142","United Kingdom",2010,84725,153
"143","United Kingdom",2012,86634,153
"144","United Kingdom",2014,85307,149
"145","United Kingdom",2016,85348,146
"146","United Kingdom",2018,82773,140
"147","United Kingdom",2020,79514,133
"148","Turkiye",2000,49512,73
"149","Turkiye",2002,59429,85
"150","Turkiye",2004,57930,81
"151","Turkiye",2006,70277,101
"152","Turkiye",2008,103235,144
"153","Turkiye",2010,120814,164
"154","Turkiye",2012,136020,180
"155","Turkiye",2014,158837,204
"156","Turkiye",2016,200339,251
"157","Turkiye",2018,264842,324
"158","Turkiye",2020,266831,319
"159","Russia",2000,1060404,729
"160","Russia",2002,980151,675
"161","Russia",2004,847004,588
"162","Russia",2006,823403,577
"163","Russia",2008,883436,622
"164","Russia",2010,864197,609
"165","Russia",2012,755651,528
"166","Russia",2014,677287,471
"167","Russia",2016,646085,448
"168","Russia",2018,602176,416
"169","Russia",2020,523928,363
"170","India",2000,272079,26
"171","India",2002,322357,30
"172","India",2004,331391,30
"173","India",2006,373271,32
"174","India",2008,384753,33
"175","India",2010,368998,30
"176","India",2012,385135,30
"177","India",2014,418536,32
"178","India",2016,433033,33
"179","India",2018,466084,34
"180","Indonesia",2000,53399,26
"181","Indonesia",2002,67960,31
"182","Indonesia",2004,87185,39
"183","Indonesia",2006,116688,51
"184","Indonesia",2008,137144,59
"185","Indonesia",2010,117863,49
"186","Indonesia",2012,150688,60
"187","Indonesia",2014,163414,64
"188","Indonesia",2016,202623,77
"189","Indonesia",2018,246005,92
"190","Indonesia",2020,249056,91
"191","Iran",2001,158000,237
"192","Iran",2003,157267,229
"193","Iran",2005,134384,192
"194","Iran",2007,148843,207
"195","Iran",2009,168516,229
"196","Iran",2011,250000,331
"197","Iran",2013,226220,294
"198","Iran",2016,223000,279
"199","Iran",2018,240000,294
"200","Japan",2000,61242,48
"201","Japan",2002,69502,55
"202","Japan",2004,76413,60
"203","Japan",2006,81255,64
"204","Japan",2008,76881,60
"205","Japan",2010,72975,57
"206","Japan",2012,67008,53
"207","Japan",2014,60486,48
"208","Japan",2016,55967,44
"209","Japan",2018,50578,40
"210","Philippines",2000,79299,102
"211","Philippines",2002,67968,83
"212","Philippines",2004,83501,99
"213","Philippines",2006,91200,104
"214","Philippines",2008,94961,105
"215","Philippines",2010,95390,103
"216","Philippines",2012,106323,111
"217","Philippines",2014,120076,121
"218","Philippines",2016,170543,167
"219","Philippines",2018,188278,179
"220","South Korea",2000,62959,136
"221","South Korea",2002,61084,131
"222","South Korea",2004,57184,121
"223","South Korea",2006,46721,98
"224","South Korea",2008,46684,96
"225","South Korea",2010,47471,97
"226","South Korea",2012,45488,92
"227","South Korea",2014,50128,100
"228","South Korea",2016,56495,112
"229","South Korea",2018,54744,108
"230","Thailand",2000,223406,354
"231","Thailand",2002,254070,396
"232","Thailand",2004,167142,257
"233","Thailand",2006,152625,232
"234","Thailand",2008,185082,278
"235","Thailand",2010,210855,313
"236","Thailand",2012,234895,346
"237","Thailand",2014,315012,460
"238","Thailand",2016,300868,437
"239","Thailand",2018,366316,529
"240","Thailand",2020,358369,516
"241","Turkmenistan",1998,18000,410
"242","Turkmenistan",2000,22000,488
"243","Turkmenistan",2003,15460,332
"244","Turkmenistan",2006,10953,228
"245","Turkmenistan",2010,26500,522
"246","Turkmenistan",2013,30568,583
"247","Turkmenistan",2017,30452,552
"248","China",2000,1427407,111
"249","China",2002,1512194,119
"250","China",2004,1583006,119
"251","China",2006,1710641,118
"252","China",2008,1735822,121
"253","China",2010,1656773,121
"254","China",2012,1657963,120
"255","China",2014,1649804,118
"256","China",2017,1712000,121
"257","Rwanda",2010,55000,547
"258","Rwanda",2012,58223,553
"259","Rwanda",2014,54279,491
"260","Rwanda",2016,51124,440
"261","Rwanda",2018,66392,544
"262","Rwanda",2020,71000,545
